School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Suny Broome Community College,4364871,2182436
Chandler - Gilbert Community College,4350989,2175495
Herzing University,4328833,2164417
Golden West College,4318142,2159071
Richland College,4316107,2158054
Anne Arundel Community College,4315345,2157673
California University Of Pennsylvania,4312587,2156294
Campbell University,4307900,2153950
Sacred Heart University,4305177,2152589
Villanova University,4299419,2149710
Gateway Community College,4296723,2148362
Saddleback College,4296103,2148052
University Of Arkansas At Pine Bluff,4295429,2147715
Suny College At Purchase,4290517,2145259
Fortis College,4282458,2141229
Southeast Community College,4282436,2141218
Western Oregon University,4281683,2140842
La Salle University,4277300,2138650
Bradley University,4276013,2138007
Uta Mesivta Of Kiryas Joel,4265324,2132662
Ocean County College,4265169,2132585
Hampton University,4264342,2132171
Western Connecticut State University,4256393,2128197
Kalamazoo Valley Community College,4249299,2124650
Tri-County Technical College,4246483,2123242
Reedley College,4243892,2121946
Thomas Jefferson University,4240183,2120092
Cincinnati State Technical & Community College,4228115,2114058
Worcester State University,4222833,2111417
Georgia Highlands College,4220236,2110118
Triton College,4211898,2105949
Edinboro University Of Pennsylvania,4181685,2090843
Spokane Community College,4173204,2086602
Fort Valley State University,4166439,2083220
Chabot College,4156840,2078420
J Sargeant Reynolds Community College,4151184,2075592
Bellevue College,4145089,2072545
St. Edward'S University,4142345,2071173
Francis Marion University,4141139,2070570
Fresno Pacific University,4121557,2060779
Navarro College,4101645,2050823
Montgomery County Community College,4090103,2045052
Dorsey School Of Business,4088414,2044207
Georgia College & State University,4082028,2041014
George C. Wallace State Community College,4064802,2032401
South Carolina State University,4062087,2031044
Saint Xavier University,4057142,2028571
Lee College,4057094,2028547
Yakima Valley College,4041726,2020863
College Of Western Idaho,4030648,2015324
Cabrillo College,4027260,2013630
Southwest University At El Paso,4026674,2013337
Southern Arkansas University,4025613,2012807
Ashland University,3987716,1993858
Lewis University,3978861,1989431
Milan Institute,3963075,1981538
Atlantic Cape Community College,3960342,1980171
Colorado State University-Pueblo,3959862,1979931
Plymouth State University Of The University System Of New Hampshire,3950921,1975461
Evergreen Valley College,3949985,1974993
College Of William & Mary,3948268,1974134
Owens Community College,3937786,1968893
University Of Nebraska - Kearney,3925967,1962984
Pierce College,3925203,1962602
Frostburg State University,3925040,1962520
Inter American University Of Puerto Rico - Barranquitas Campus,3922288,1961144
Biola University,3922227,1961114
Holmes Community College,3916962,1958481
Bossier Parish Community College,3915911,1957956
Saint Peter'S University,3914585,1957293
Southern Crescent Technical College,3912287,1956144
Fitchburg State University,3910925,1955463
Kilgore College,3908886,1954443
University Of Northwestern Ohio,3906341,1953171
Framingham State University,3897751,1948876
Jackson College,3892134,1946067
Instituto Comercial De Puerto Rico Junior College,3879773,1939887
Lehigh Carbon Community College,3873075,1936538
Atlanta Technical College,3869156,1934578
North Central Texas College,3862598,1931299
Del Mar College,3854029,1927015
Thomas Nelson Community College,3853969,1926985
Allan Hancock College,3853901,1926951
Mercer County Community College,3851115,1925558
Springfield Technical Community College,3845054,1922527
Columbia Basin College,3840410,1920205
Los Medanos College,3838971,1919486
Tacoma Community College,3835874,1917937
Carrington College,3823185,1911593
Raritan Valley Community College,3819720,1909860
Naugatuck Valley Community College,3819528,1909764
Inter American University Of Puerto Rico - Fajardo Campus,3814392,1907196
Jones County Junior College,3808681,1904341
Academy Of Art University,3791776,1895888
Evergreen State College (The),3787631,1893816
University Of Wisconsin - Parkside,3781946,1890973
Henderson State University,3767931,1883966
Los Angeles Film School (The),3766527,1883264
Tuskegee University,3756522,1878261
Gadsden State Community College,3756166,1878083
Rowan College At Burlington County,3750316,1875158
Yuba College,3748918,1874459
Saint Joseph'S College,3745728,1872864
Claflin University,3738216,1869108
Southwest Texas Junior College,3736958,1868479
Northeast Wisconsin Technical College,3736257,1868129
County College Of Morris,3734038,1867019
Illinois Institute Of Technology,3730000,1865000
Jefferson State Community College,3729878,1864939
Missouri Western State University,3722351,1861176
Caribbean University,3713976,1856988
Aveda Arts & Sciences Institute Covington,3712040,1856020
Illinois Central College,3704633,1852317
Middlesex Community College,3704343,1852172
Governors State University,3702601,1851301
Seattle University,3692919,1846460
Walters State Community College,3688117,1844059
Asheville Buncombe Technical Community College,3686607,1843304
Holyoke Community College,3685390,1842695
Moreno Valley College,3681844,1840922
New England Institute Of Technology,3676041,1838021
Shasta College,3673274,1836637
Cem College,3669368,1834684
Concordia University,3667367,1833684
Indiana University Southeast,3667290,1833645
Arizona College,3665308,1832654
George C. Wallace Community College,3655757,1827879
Eastfield College,3649693,1824847
Rider University,3648210,1824105
Central State University,3645811,1822906
College Of Micronesia-Fsm,3640313,1820157
Pueblo Community College,3638453,1819227
University Of South Dakota,3634766,1817383
Butler County Community College,3631932,1815966
Rockland Community College,3626632,1813316
South Florida Institute Of Technology,3625271,1812636
Pepperdine University,3620831,1810416
Lehigh University,3616135,1808068
Hartnell Community College,3615339,1807670
University Of The District Of Columbia,3609526,1804763
Texas Southmost College,3608280,1804140
Florida Institute Of Technology,3607645,1803823
Southern Regional Technical College,3604073,1802037
Niagara County Community College,3598909,1799455
Dutchess Community College,3592574,1796287
Northeast Mississippi Community College,3583689,1791845
Massasoit Community College,3581373,1790687
Anoka-Ramsey Community College,3580976,1790488
Stetson University,3578583,1789292
South College,3576321,1788161
Berklee College Of Music,3573148,1786574
Shawnee State University,3572909,1786455
University Of Mary Hardin-Baylor,3548693,1774347
Santa Clara University,3542678,1771339
University Of Maryland - Eastern Shore,3542365,1771183
Lander University,3536994,1768497
Cuesta College,3527579,1763790
Suny College Of Agriculture & Technology At Morrisville,3527241,1763621
Wingate University,3526458,1763229
North-West College,3525534,1762767
Norco College,3523056,1761528
Lawson State Community College,3522022,1761011
Highline College,3519738,1759869
Lee University,3518557,1759279
Minnesota State University Moorhead,3518533,1759267
Emporia State University,3517620,1758810
Webster University,3517058,1758529
Berea College,3516276,1758138
University Of Wisconsin - Green Bay,3504931,1752466
Western Technical College,3503977,1751989
Cameron University,3498279,1749140
Lincoln University,3494532,1747266
Fortis College,3493748,1746874
Abraham Baldwin Agricultural College,3489407,1744704
Gurnick Academy Of Medical Arts,3477356,1738678
College Of Saint Rose,3475163,1737582
Wentworth Institute Of Technology,3469571,1734786
Springfield College,3458881,1729441
Spokane Falls Community College,3458313,1729157
California Lutheran University,3451376,1725688
Housatonic Community College,3450869,1725435
John Tyler Community College,3448784,1724392
North Shore Community College,3446732,1723366
Colorado School Of Mines,3445115,1722558
Southwestern Oklahoma State University,3443513,1721757
Piedmont Technical College,3433957,1716979
Rice University,3433160,1716580
Dartmouth College,3429350,1714675
Saint Philip'S College,3427506,1713753
Gordon State College,3427492,1713746
Fairmont State University,3426559,1713280
Southern Oregon University,3422079,1711040
Suny Empire State College,3411359,1705680
Orange County Community College,3405395,1702698
Wake Forest University,3404708,1702354
East Mississippi Community College,3398901,1699451
Fortis College,3398488,1699244
Lock Haven University Of Pennsylvania,3395845,1697923
Atlantic University College,3392323,1696162
University Of Redlands,3388020,1694010
Mount Hood Community College,3385658,1692829
Coastal Carolina Community College,3371351,1685676
Baldwin Wallace University,3370528,1685264
Copiah-Lincoln Community College,3359493,1679747
University Of North Carolina  Asheville,3359493,1679747
Spartanburg Community College,3358632,1679316
Inter American University Of Puerto Rico - Guayama Campus,3353951,1676976
Truckee Meadows Community College,3347251,1673626
Truman State University,3345344,1672672
Marist College,3344611,1672306
University Of Mount Olive,3337015,1668508
Indiana Institute Of Technology,3336999,1668500
Platt College,3330094,1665047
Everett Community College,3327536,1663768
Robert Morris University,3326878,1663439
Elmhurst College,3320646,1660323
Commonwealth Of Puerto Rico Department Of Education,3315937,1657969
Roane State Community College,3314382,1657191
Art Institute Of Houston (The),3313919,1656960
Laney College,3313469,1656735
Benedictine University,3297892,1648946
Pittsburgh Technical College,3296079,1648040
Rock Valley College,3290405,1645203
Columbia State Community College,3285220,1642610
York College Of Pennsylvania,3283784,1641892
Manhattan College,3277749,1638875
Parkland College,3275003,1637502
University Of Bridgeport,3271938,1635969
Northern Essex Community College,3271644,1635822
Clover Park Technical College,3266340,1633170
Augsburg University,3259242,1629621
Miles College,3257934,1628967
Savannah Technical College,3257084,1628542
Harding University,3252861,1626431
Seattle Central College,3252598,1626299
Fortis Institute,3246774,1623387
Palo Alto College,3240943,1620472
San Diego Miramar College,3235898,1617949
Manchester Community College,3235201,1617601
Xavier University Of Louisiana,3227606,1613803
Clarion University Of Pennsylvania,3224275,1612138
University Of Arkansas At Monticello,3223313,1611657
