School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Rowan College Of South Jersey,6557641,3278821
State University Of New York At New Paltz,6537407,3268704
Merced Community College,6536491,3268246
Salem State University,6512818,3256409
Lincoln Technical Institute,6495045,3247523
East Stroudsburg University Of Pennsylvania,6469323,3234662
Moraine Valley Community College,6465543,3232772
Lincoln Technical Institute,6452823,3226412
Boston College,6448576,3224288
Prince George'S Community College,6421788,3210894
Baton Rouge Community College,6420025,3210013
Savannah State University,6374932,3187466
Washington University In St. Louis,6368472,3184236
Angelo State University,6359561,3179781
Columbus State University,6352178,3176089
Columbia College Chicago,6341542,3170771
Kirkwood Community College,6336610,3168305
Brookdale Community College,6334411,3167206
College Of The Canyons,6326734,3163367
American University (The),6314017,3157009
University Of Wisconsin - Stevens Point,6312792,3156396
Southern Careers Institute,6305240,3152620
University Of Massachusetts - Dartmouth,6288232,3144116
Alabama State University,6284463,3142232
University Of North Carolina At Pembroke,6274710,3137355
Asa College,6272628,3136314
Murray State University,6270769,3135385
Johns Hopkins University,6266940,3133470
Hofstra University,6249515,3124758
Suny College At Cortland,6245138,3122569
Rio Hondo Community College,6232775,3116388
University Of Wisconsin - Oshkosh,6207761,3103881
University Of Chicago (The),6207010,3103505
Dixie State University,6176699,3088350
Clayton State University,6165671,3082836
Wayne County Community College District,6158090,3079045
Los Angeles Valley College,6154624,3077312
State University Of New York At Farmingdale,6154318,3077159
Augusta University,6145342,3072671
Winston-Salem State University,6117980,3058990
Polk State College,6116050,3058025
Georgetown University,6110643,3055322
University Of South Carolina Upstate,6104655,3052328
Northeastern Illinois University,6070904,3035452
Clark Atlanta University,6064349,3032175
Jacksonville State University,6050640,3025320
Northampton County Area Community College,6039116,3019558
South Dakota State University,6020168,3010084
Morehead State University,6016440,3008220
University Of Rochester,6011698,3005849
Pensacola State College,6004939,3002470
Georgia Military College,5998679,2999340
Northern Michigan University,5994618,2997309
Middle Georgia State University,5988167,2994084
Salisbury University,5959457,2979729
University Of Arkansas At Little Rock,5956500,2978250
American Career College,5944572,2972286
Santa Rosa Junior College,5942841,2971421
Fayetteville Technical Community College,5913774,2956887
San Diego Mesa College,5911519,2955760
"University Of Puerto Rico, Aguadilla Regional College",5899782,2949891
Beth Medrash Govoha Of America,5899593,2949797
University Of Southern Indiana,5890282,2945141
Alcorn State University,5886916,2943458
Florida National University,5884598,2942299
University Of Missouri - Saint Louis,5830225,2915113
Purdue University Northwest,5824998,2912499
Lansing Community College,5804315,2902158
University Of Notre Dame,5793244,2896622
Strayer University,5792122,2896061
Northwest Mississippi Community College,5787016,2893508
Camden County College,5784112,2892056
University Of Louisiana At Monroe,5777764,2888882
Fairleigh Dickinson University,5771203,2885602
Santa Barbara City College,5767428,2883714
Metropolitan Community College,5767395,2883698
West Texas A&M University,5764767,2882384
Baker College,5754381,2877191
Chemeketa Community College,5750738,2875369
Seton Hall University,5749918,2874959
Suny College At Oneonta,5740817,2870409
University Of Puerto Rico - Cayey University College,5738057,2869029
Interactive College Of Technology,5735726,2867863
Carnegie Mellon University,5735086,2867543
Universidad Politecnica De Puerto Rico,5734996,2867498
Texas Christian University,5728641,2864321
Harold Washington College,5708949,2854475
Winona State University,5696956,2848478
University Of Alabama In Huntsville,5679758,2839879
Northeastern State University,5676974,2838487
University Of Puerto Rico - Humacao University College,5664236,2832118
University Of La Verne,5658977,2829489
Northwestern State University,5647034,2823517
South Louisiana Community College,5645949,2822975
Vanderbilt University,5632423,2816212
Southern Utah University,5624696,2812348
Millersville University Of Pennsylvania,5617301,2808651
Texas A&M University-San Antonio,5613425,2806713
Santa Ana College,5594396,2797198
Tulane University,5590189,2795095
Purdue University Fort Wayne,5589305,2794653
University Of New Orleans (The),5581887,2790944
Cosumnes River College,5574947,2787474
Oklahoma City Community College,5566700,2783350
Delaware State University,5565920,2782960
University Of Houston - Clear Lake,5555369,2777685
Azusa Pacific University,5548456,2774228
Harper College,5526516,2763258
Suny College At Old Westbury,5522673,2761337
Suny At Fredonia,5513590,2756795
University Of Arkansas At Fort Smith,5511303,2755652
Miracosta College,5511006,2755503
Pitt Community College,5510793,2755397
Tulsa Welding School,5505774,2752887
Chapman University,5505229,2752615
Madison Area Technical College,5500069,2750035
Joliet Junior College,5497625,2748813
Southern New Hampshire University,5494008,2747004
University Of North Dakota,5491551,2745776
